,2016,2015,2014,2013,2012,2011,2010,2009,2008,2021,2020,2019,2018,2017,2022,1996,2007,2006,2005,2004,2003,2002,2001,1998,1997,2000,1999,1995
1015739,https://www.sec.gov/Archives/edgar/data/1015739/000157104916011724/0001571049-16-011724-index.htm,https://www.sec.gov/Archives/edgar/data/1015739/000157104915001114/0001571049-15-001114-index.htm,https://www.sec.gov/Archives/edgar/data/1015739/000118811214000398/0001188112-14-000398-index.htm,https://www.sec.gov/Archives/edgar/data/1015739/000118811213000422/0001188112-13-000422-index.htm,https://www.sec.gov/Archives/edgar/data/1015739/000118811212000424/0001188112-12-000424-index.htm,https://www.sec.gov/Archives/edgar/data/1015739/000118811211000241/0001188112-11-000241-index.htm,https://www.sec.gov/Archives/edgar/data/1015739/000118811210000245/0001188112-10-000245-index.htm,https://www.sec.gov/Archives/edgar/data/1015739/000118811209000293/0001188112-09-000293-index.htm,https://www.sec.gov/Archives/edgar/data/1015739/000118811208000422/0001188112-08-000422-index.htm,https://www.sec.gov/Archives/edgar/data/1015739/000156459021006373/0001564590-21-006373-index.htm,https://www.sec.gov/Archives/edgar/data/1015739/000110465920022309/0001104659-20-022309-index.htm,https://www.sec.gov/Archives/edgar/data/1015739/000114420419008788/0001144204-19-008788-index.htm,https://www.sec.gov/Archives/edgar/data/1015739/000114420418011461/0001144204-18-011461-index.htm,https://www.sec.gov/Archives/edgar/data/1015739/000157104917001193/0001571049-17-001193-index.htm,https://www.sec.gov/Archives/edgar/data/1015739/000156459022010383/0001564590-22-010383-index.htm,,https://www.sec.gov/Archives/edgar/data/1015739/000118811207000692/0001188112-07-000692-index.htm,https://www.sec.gov/Archives/edgar/data/1015739/000118811206000679/0001188112-06-000679-index.htm,https://www.sec.gov/Archives/edgar/data/1015739/000118811205000453/0001188112-05-000453-index.htm,https://www.sec.gov/Archives/edgar/data/1015739/000118811204000331/0001188112-04-000331-index.htm,https://www.sec.gov/Archives/edgar/data/1015739/000118811203000146/0001188112-03-000146-index.htm,https://www.sec.gov/Archives/edgar/data/1015739/000113388402000264/0001133884-02-000264-index.htm,https://www.sec.gov/Archives/edgar/data/1015739/000100547701002245/0001005477-01-002245-index.htm,https://www.sec.gov/Archives/edgar/data/1015739/000095013598001991/0000950135-98-001991-index.htm,https://www.sec.gov/Archives/edgar/data/1015739/000095013597001432/0000950135-97-001432-index.htm,,,
723531,https://www.sec.gov/Archives/edgar/data/723531/000072353116000046/0000723531-16-000046-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353115000011/0000723531-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353114000014/0000723531-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353113000021/0000723531-13-000021-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000119312512309041/0001193125-12-309041-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000095012311065947/0000950123-11-065947-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000095012310066009/0000950123-10-066009-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000095012309023519/0000950123-09-023519-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000095015208005502/0000950152-08-005502-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353121000035/0000723531-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353120000048/0000723531-20-000048-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353119000032/0000723531-19-000032-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353118000026/0000723531-18-000026-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353117000023/0000723531-17-000023-index.htm,,,https://www.sec.gov/Archives/edgar/data/723531/000095015207005944/0000950152-07-005944-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000095015206005992/0000950152-06-005992-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000095015205006110/0000950152-05-006110-index.htm,,,,,,,,,
1591698,https://www.sec.gov/Archives/edgar/data/1591698/000110465916139345/0001104659-16-139345-index.htm,https://www.sec.gov/Archives/edgar/data/1591698/000110465915060024/0001104659-15-060024-index.htm,https://www.sec.gov/Archives/edgar/data/1591698/000110465914062738/0001104659-14-062738-index.htm,,,,,,,https://www.sec.gov/Archives/edgar/data/1591698/000155837021010711/0001558370-21-010711-index.htm,https://www.sec.gov/Archives/edgar/data/1591698/000155837020009960/0001558370-20-009960-index.htm,https://www.sec.gov/Archives/edgar/data/1591698/000155837019007859/0001558370-19-007859-index.htm,https://www.sec.gov/Archives/edgar/data/1591698/000155837018006955/0001558370-18-006955-index.htm,https://www.sec.gov/Archives/edgar/data/1591698/000155837017006561/0001558370-17-006561-index.htm,,,,,,,,,,,,,,
1477333,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1477333/000147733321000009/0001477333-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1477333/000147733320000010/0001477333-20-000010-index.htm,,,,https://www.sec.gov/Archives/edgar/data/1477333/000147733322000008/0001477333-22-000008-index.htm,,,,,,,,,,,,,
1393548,,,,,,,https://www.sec.gov/Archives/edgar/data/1393548/000127351110000243/0001273511-10-000243-index.htm,https://www.sec.gov/Archives/edgar/data/1393548/000127351109000236/0001273511-09-000236-index.htm,https://www.sec.gov/Archives/edgar/data/1393548/000139390508000343/0001393905-08-000343-index.htm,,,,,https://www.sec.gov/Archives/edgar/data/1393548/000121465917005393/0001214659-17-005393-index.htm,https://www.sec.gov/Archives/edgar/data/1393548/000157570522000124/0001575705-22-000124-index.htm,,,,,,,,,,,,,
1166388,https://www.sec.gov/Archives/edgar/data/1166388/000116638816000180/0001166388-16-000180-index.htm,https://www.sec.gov/Archives/edgar/data/1166388/000116638815000015/0001166388-15-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1166388/000116638814000013/0001166388-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1166388/000116638813000056/0001166388-13-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1166388/000110465912023217/0001104659-12-023217-index.htm,https://www.sec.gov/Archives/edgar/data/1166388/000095012311033115/0000950123-11-033115-index.htm,https://www.sec.gov/Archives/edgar/data/1166388/000095012310032960/0000950123-10-032960-index.htm,,,https://www.sec.gov/Archives/edgar/data/1166388/000116638821000028/0001166388-21-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1166388/000116638820000014/0001166388-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1166388/000116638819000013/0001166388-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1166388/000116638818000013/0001166388-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1166388/000116638817000011/0001166388-17-000011-index.htm,,,,,,,,,,,,,,
813672,https://www.sec.gov/Archives/edgar/data/813672/000081367216000040/0000813672-16-000040-index.htm,https://www.sec.gov/Archives/edgar/data/813672/000081367215000008/0000813672-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/813672/000081367214000008/0000813672-14-000008-index.htm,,,,,,,https://www.sec.gov/Archives/edgar/data/813672/000081367221000009/0000813672-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/813672/000081367220000007/0000813672-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/813672/000081367219000008/0000813672-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/813672/000081367218000008/0000813672-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/813672/000081367217000006/0000813672-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/813672/000081367222000012/0000813672-22-000012-index.htm,,,,,,,,,,,,,
1066194,https://www.sec.gov/Archives/edgar/data/1066194/000155837016008328/0001558370-16-008328-index.htm,https://www.sec.gov/Archives/edgar/data/1066194/000155837015001771/0001558370-15-001771-index.htm,https://www.sec.gov/Archives/edgar/data/1066194/000156459014004080/0001564590-14-004080-index.htm,https://www.sec.gov/Archives/edgar/data/1066194/000156459013000619/0001564590-13-000619-index.htm,https://www.sec.gov/Archives/edgar/data/1066194/000119312512403504/0001193125-12-403504-index.htm,https://www.sec.gov/Archives/edgar/data/1066194/000119312511257374/0001193125-11-257374-index.htm,https://www.sec.gov/Archives/edgar/data/1066194/000119312510214925/0001193125-10-214925-index.htm,https://www.sec.gov/Archives/edgar/data/1066194/000119312509198400/0001193125-09-198400-index.htm,https://www.sec.gov/Archives/edgar/data/1066194/000119312508203156/0001193125-08-203156-index.htm,https://www.sec.gov/Archives/edgar/data/1066194/000155837021012388/0001558370-21-012388-index.htm,https://www.sec.gov/Archives/edgar/data/1066194/000155837020011132/0001558370-20-011132-index.htm,https://www.sec.gov/Archives/edgar/data/1066194/000155837019008598/0001558370-19-008598-index.htm,https://www.sec.gov/Archives/edgar/data/1066194/000155837018007466/0001558370-18-007466-index.htm,https://www.sec.gov/Archives/edgar/data/1066194/000155837017007169/0001558370-17-007169-index.htm,,,https://www.sec.gov/Archives/edgar/data/1066194/000119312507210115/0001193125-07-210115-index.htm,https://www.sec.gov/Archives/edgar/data/1066194/000119312506197995/0001193125-06-197995-index.htm,https://www.sec.gov/Archives/edgar/data/1066194/000119312505193237/0001193125-05-193237-index.htm,https://www.sec.gov/Archives/edgar/data/1066194/000119312504163238/0001193125-04-163238-index.htm,https://www.sec.gov/Archives/edgar/data/1066194/000119312503055476/0001193125-03-055476-index.htm,https://www.sec.gov/Archives/edgar/data/1066194/000101287002003932/0001012870-02-003932-index.htm,https://www.sec.gov/Archives/edgar/data/1066194/000101287001502080/0001012870-01-502080-index.htm,,,,,
1540755,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1540755/000156459021012868/0001564590-21-012868-index.htm,https://www.sec.gov/Archives/edgar/data/1540755/000156459020014183/0001564590-20-014183-index.htm,https://www.sec.gov/Archives/edgar/data/1540755/000119312519092804/0001193125-19-092804-index.htm,,,,,,,,,,,,,,,,
1528396,https://www.sec.gov/Archives/edgar/data/1528396/000152839616000056/0001528396-16-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1528396/000152839615000019/0001528396-15-000019-index.htm,,,,,,,,https://www.sec.gov/Archives/edgar/data/1528396/000152839621000095/0001528396-21-000095-index.htm,https://www.sec.gov/Archives/edgar/data/1528396/000152839620000053/0001528396-20-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1528396/000152839619000032/0001528396-19-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1528396/000152839618000037/0001528396-18-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1528396/000152839617000025/0001528396-17-000025-index.htm,,,,,,,,,,,,,,
